itemid,                    name, sell_single, buy_single, price_single, stock_single, sell_stacks, buy_stacks, price_stacks, stock_stacks
     2,              simple_bed,           1,          1,          391,           25,           0,          1,            1,           50
     3,                 oak_bed,           1,          1,         1403,           25,           0,          1,            1,           50
     4,            mahogany_bed,           1,          1,        10212,           25,           0,          1,            1,           50
     5,              bronze_bed,           1,          1,         1557,           25,           0,          1,            1,           50
     6,              nobles_bed,           1,          1,        12500,           25,           0,          1,            1,           50
     8,               royal_bed,           1,          1,        19074,           25,           0,          1,            1,           50
    21,                    desk,           1,          1,          158,           25,           0,          1,            1,           50
    22,               workbench,           1,          1,           91,           25,           0,          1,            1,           50
    23,             maple_table,           1,          1,          159,           25,           0,          1,            1,           50
    24,               oak_table,           1,          1,         3120,           25,           0,          1,            1,           50
    26,           tarutaru_desk,           1,          1,         1500,           25,           0,          1,            1,           50
    29,              secretaire,           1,          1,         2466,           25,           0,          1,            1,           50
    30,                  bureau,           1,          1,         1985,           25,           0,          1,            1,           50
    32,                 dresser,           1,          1,         9302,           25,           0,          1,            1,           50
    33,        millionaire_desk,           1,          1,        24999,           25,           0,          1,            1,           50
    43,              wicker_box,           1,          1,          750,           25,           0,          1,            1,           50
    46,               armor_box,           1,          1,         1214,           25,           0,          1,            1,           50
    49,                  coffer,           1,          1,         1278,           25,           0,          1,            1,           50
    51,                   chest,           1,          1,          195,           25,           0,          1,            1,           50
    55,                 cabinet,           1,          1,         3200,           25,           0,          1,            1,           50
    56,                 commode,           1,          1,         4753,           25,           0,          1,            1,           50
    59,              chiffonier,           1,          1,         4685,           25,           0,          1,            1,           50
    61,                 armoire,           1,          1,        12750,           25,           0,          1,            1,           50
    76,         royal_bookshelf,           1,          1,        14625,           25,           0,          1,            1,           50
    77,               bookshelf,           1,          1,        14500,           25,           0,          1,            1,           50
    86,         san_dorian_tree,           1,          1,         2015,           25,           0,          1,            1,           50
    87,               kadomatsu,           1,          1,         2015,           25,           0,          1,            1,           50
    90,            rusty_bucket,           1,          1,           51,           25,           0,          1,            1,           50
    91,            blue_pitcher,           1,          1,           37,           25,           0,          1,            1,           50
    92,          tarutaru_stool,           1,          1,          246,           25,           0,          1,            1,           50
    93,              water_cask,           1,          1,           95,           25,           0,          1,            1,           50
    95,            water_barrel,           1,          1,         1879,           25,           0,          1,            1,           50
    96,         beverage_barrel,           1,          1,         1773,           25,           0,          1,            1,           50
    97,             book_holder,           1,          1,          205,           25,           0,          1,            1,           50
    98,         scimitar_cactus,           1,          1,          408,           25,           0,          1,            1,           50
    99,            elshimo_palm,           1,          1,          403,           25,           0,          1,            1,           50
   100,              okadomatsu,           1,          1,          200,           25,           0,          1,            1,           50
   102,            flower_stand,           1,          1,           97,           25,           0,          1,            1,           50
   103,           goldfish_bowl,           1,          1,         4780,           25,           0,          1,            1,           50
   104,          taru_f._screen,           1,          1,          435,           25,           0,          1,            1,           50
   107,               water_jug,           1,          1,           48,           25,           0,          1,            1,           50
   109,                     urn,           1,          1,          356,           25,           0,          1,            1,           50
   110,               white_jar,           1,          1,         1058,           25,           0,          1,            1,           50
   112,              yellow_jar,           1,          1,          126,           25,           0,          1,            1,           50
   113,       cleaning_tool_set,           1,          1,           51,           25,           0,          1,            1,           50
